Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
Web Science and Digital Libraries Research Group	7	0	2	0	2	2	1	0	8	4	1	0	1	0	0	2	3	3	9	0	0	1	1	3	9	0	5	13	3	26	0	2	0	29	0	0	0	1	1	1	1	1	2	11	9	0	13	7	12	13	0	7	11	0	6	4	0	3	1	4	0	5	3	1	11	1	1	0	6	4	1	0	2	0	1	0	4	7	5	7	4	0	6	2	1	5	8	13	2	0	3	0	5	0	0	0	0	5	4	2	0	1	1	0	5	7	0	0	0	0	0	2	0	0	0	4	9	0	0	4	0	7	1	5	3	8	6	1	0	0	0	2	4	5	5	0	8	0	2	1	0	2	9	0	11	34	0	0	27	1	0	4	18	9	0	8	0	2	39	0	3	0	78	0	2	0	7	2	0	1	0	1	3	7	1	8	7	0	15	8	8	3	0	0	6	2	6	2	2	0	0	5	5	0	1	1	0	1	6	0	0	0	12	7	0	9	1	1	5	1	0	0	5	11	6	2	1	0	25	40	5	0	8	2	11	0	0	5	0	8	1	0	0	0	0	5	0	10	6	0	0	1	0	0	0	1	9	0	3	0	0	3	0	0	1	15	13	2	21	1	5	4	2	2	12	1	5	41	0	0	2	0	0	1	1	0	6	17	0	1	0	8	7	12	3	4	16	1	2	6	10	7	1	2	1	1	1	0	0	1	1	15	4	1	5	7	3	7	0	0	1	0	3	22	9	0	0	7	35	0	6	0	7	0	3	1	1	1	4	0	1	2	1	1	4	0	7	1	0	0	1	7	11	0	7	10	10	0	9	3	1	2	0	2	18	17	0	1	0	19	15	0	0	8	1	26	0	2	12	11	10	1	1	3	14	8	0	28	3	2	0	4	24	0	2	9	8	2	3	3	2	16	0	3	22	0	0	0	11	10	1	12	26	1	1	15	1	0	3	0	1	0	7	0	0	0	26	0	0	0	1	0	0	3	2	3	6	1	7	1	13	37	60	0	1	1	0	0	2	8	2	2	10	7	8	1	1	1	0	2	6	0	11	22	0	2	0	1	4	4	0	3	27	1	1	4	5	1	3	0	3	3	2	0	0	0	8	0	1	2	0	0	16	0	5	0	3	3	22	3	0	3	0	2	0	50	41	5	0	3
Steel City Rust	1	1	0	0	0	0	1	0	3	0	4	0	2	1	1	0	0	1	0	0	0	0	1	0	0	2	0	2	0	1	3	11	2	0	0	6	1	1	0	3	1	0	1	1	1	2	3	0	7	0	2	3	0	1	1	3	1	3	0	4	0	0	6	0	0	1	2	1	0	0	1	1	0	2	0	0	5	3	1	1	0	0	0	1	0	2	0	0	0	1	2	0	0	0	1	0	3	5	1	0	4	2	0	0	0	2	0	4	0	1	7	0	0	0	1	0	5	0	1	1	0	1	3	0	4	4	0	0	1	0	2	0	3	2	2	2	0	0	3	0	0	1	0	0	3	4	0	1	0	0	1	0	0	0	1	2	0	3	1	0	1	1	0	7	1	1	1	1	3	0	2	0	1	0	4	2	1	3	0	1	3	0	0	0	1	5	3	2	0	2	0	1	0	2	0	0	0	1	0	2	0	0	2	2	2	6	1	1	0	0	3	0	9	1	2	2	0	0	0	0	0	1	3	1	0	0	4	3	0	7	2	2	0	3	2	1	1	4	2	0	0	2	0	0	8	0	0	4	0	1	2	8	0	8	0	1	0	2	1	2	0	2	0	0	0	0	2	0	9	2	6	0	5	0	1	0	0	2	2	1	0	1	0	0	0	7	3	2	0	1	5	0	2	3	0	0	2	2	1	1	0	1	0	0	0	5	0	0	1	0	1	0	1	3	3	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	2	6	0	1	0	1	0	0	0	1	0	4	0	3	0	1	1	0	0	6	1	0	0	0	0	0	0	1	0	5	1	0	3	3	2	2	0	4	1	2	0	2	0	4	0	1	0	2	1	1	2	4	1	0	2	0	0	0	0	1	12	4	3	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	1	0	0	3	0	0	0	1	1	3	0	0	2	1	1	3	0	2	0	3	0	0	1	5	0	1	0	0	1	0	0	2	0	1	2	7	7	2	2	1	0	0	0	1	1	0	2	2	0	0	6	3	5	3	0	0	0	13	1	1	0	6	2	1	1	4	0	4	1	1
60@60 Sounding Booth	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	3	1	8	0	0	1	1	4	0	0	0	1	4	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	12	0	0	1	0	0	0	0	3	0	1	0	0	0	0	2	1	0	1	0	1	2	0	0	1	0	3	1	1	0	1	0	2	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	1	4	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	2	1	9	1	0	0	1	0	0	4	1	1	0	0	0	0	0	0	1	1	3	2	0	0	0	0	0	1	2	1	0	0	1	2	6	0	0	0	0	1	0	0	2	1	0	0	0	1	1	1	3	2	0	0	4	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	14	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	3	0	1	1	0	1	1	1	0	0	5	0	0	4	1	0	0	1	0	0	1	3	0	3	1	5	1	0	0	0	3	0	0	0	3	1	0	0	0	0	3	0	0	0	3	3	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	23	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	1	0	0	1	0	3	0	3	0	7	0	0	0	0	11	2	2	2	1	0	0	2	0	0	0	1	5	0	2	1	13	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	2	0	1	3	0	1	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	4	3	0	1	3	0	0	1	4	3	1	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	5	0	0
ORGANMYTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarkEOrtega's Journalism Portfolio	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	4	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	25	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	2	3	0	0	0	0	0	0	5	1	0	3	1	1	0	0	2	0	0	0	2	0	0	1	0	0	6	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	3	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	1	2	0	0	0	0	0	1	0	5	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	1	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	4	0	3	0	6	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	9	0	0	0	4	0	0	0	0	0	0	0	1	2	0	0	0	24	0	0	0	0	0	0	2	1	0	2	1	0	0	0	1	4	1	1	0	0	2	0	0	1	0	0	0	0	0	2	0	2	0
Green Eggs and Ham Mondays 8-10am	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	2	0	0	7	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	5	0	0	1	1	2	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	2	5	1	0	0	0	0	1	0	0	0	1	0	3	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	5	0	0	10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	10	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	3	0	7	0	0	1	2	0	0	0	1	0	0	9	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	4	3	0	0	0	1	1	0	0	5	0	5	2	0	0	0	0	2	1	0	1	2	4	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
GLI Press	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	4	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	4	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	2	0	0	0
turnitup!	1	0	0	0	0	3	0	0	2	1	2	1	2	0	2	0	0	2	1	1	1	1	2	0	0	1	2	1	1	0	0	3	0	1	0	3	0	1	0	0	0	0	2	2	1	0	11	1	1	2	1	0	2	0	0	2	4	7	0	3	1	0	2	0	0	1	5	0	0	0	2	0	0	0	0	0	4	1	2	0	0	1	0	2	6	1	0	0	0	1	4	0	1	1	0	0	11	2	0	0	1	5	1	0	0	1	1	0	0	0	3	0	1	0	1	0	6	0	1	1	1	0	8	1	4	1	0	0	4	0	1	1	0	0	0	1	0	1	1	0	0	0	2	0	0	0	2	0	4	1	0	1	2	0	2	6	1	0	1	2	0	1	0	0	4	1	3	0	0	4	1	1	1	0	0	2	5	0	0	1	1	0	2	1	0	4	2	0	0	1	0	0	0	1	2	1	1	0	0	3	5	0	0	4	0	0	0	2	5	0	2	1	7	1	1	0	0	1	0	2	2	2	1	0	2	0	3	2	0	1	0	3	0	0	0	0	0	6	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	1	1	4	0	0	0	0	0	0	0	1	0	4	0	4	2	5	1	0	0	0	1	4	5	4	4	2	2	0	0	3	0	0	0	2	0	0	7	1	1	0	0	0	3	0	0	1	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	2	3	0	0	0	7	0	0	0	3	0	1	10	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	7	0	1	1	1	0	1	0	5	0	4	0	1	1	0	0	2	0	1	0	0	2	0	3	0	1	0	1	0	2	1	3	0	8	1	2	0	0	0	0	1	0	0	0	0	1	2	2	0	2	0	2	2	1	0	0	0	0	0	0	1	2	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	2	0	1	1	2	0	0	1	2	0	0	0	0	0	0	0	5	0	0	1	6	1	0	1	0	0	0	0	1	2	0	0	1	1	0	1	1	2	1	1	3	0	0	1	3	2	0	1	3	0	0	0	3	1	2
Stories From the City, Stories From the Sea	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	1	0	1	0	0	8	0	1	1	0	1	0	0	0	3	0	0	0	2	2	0	0	12	0	0	1	0	1	0	1	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	1	0	0	0	1	3	1	0	0	1	0	0	4	2	0	0	0	0	0	1	1	0	0	0	3	0	9	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	2	7	0	3	0	1	0	4	2	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	10	1	1	3	0	1	0	0	0	13	0	2	0	0	1	0	0	0	3	0	0	0	1	1	1	0	1	0	0	0	4	0	0	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	0	0	3	1	0	1	1	1	0	1	4	0	0	0	2	1	0	0	0	0	0	0	4	1	0	0	0	0	0	3	0	2	3	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	5	3	0	0	0	0	0	2	3	2	1	3	0	27	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	1	0	7	0	0	0	0	5	0	1	0	2	3	0	0	4	7	0	0	0	1	1	1	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0	1	0	0	2	5	1	24	0	8	3	1	0	0	0	5	0	1	2	4	3	1	1	0	0	9	0	0	0	1	4	1	1	0	0	0	0	3	0	1	0	0	2	0	3	0	0	8	9	1	11	0	2	0	0	0	0	5	2	0	0	0	0	1	1	3	1	6	0	1	3	1	0	0	0	4	1	1	0	0	0	0	3	2	0	0	3	0	0	0	0	0	4	0	0	2	0	1	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	1	0	0	0	0
Lost in the Shuffle	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	5	0	0	1	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	2	0	0	2	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	6	0	25	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	5	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	2	5	1	0	1	0	1	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	1	0	0	0	3	2	0	0
A H T A P O T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Floorshime Zipper Boots	0	3	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	2	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	2	5	0	2	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	31	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1	5	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	0	1	0	0	3	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	5	0	0	1	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	20	1	1	0	0	0	4	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	5	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
