0	1	joc7188	ItsMyBell	2
45	47	usakdamm	ASKS_cat	1
45	49	usakdamm	It_is_forever	1
45	50	usakdamm	udigitaledu	2
45	51	usakdamm	davidplaza9	0
46	47	eli_blanch	ASKS_cat	1
46	49	eli_blanch	It_is_forever	1
46	50	eli_blanch	udigitaledu	2
46	51	eli_blanch	davidplaza9	2
46	52	eli_blanch	PyramidProject	1
47	49	ASKS_cat	It_is_forever	2
47	50	ASKS_cat	udigitaledu	1
47	51	ASKS_cat	davidplaza9	0
47	52	ASKS_cat	PyramidProject	2
49	50	It_is_forever	udigitaledu	2
49	51	It_is_forever	davidplaza9	0
49	52	It_is_forever	PyramidProject	2
50	52	udigitaledu	PyramidProject	2
51	52	davidplaza9	PyramidProject	1
